Edge,Label
"(694, 774)",1
"(694, 722)",1
"(694, 829)",1
"(694, 848)",1
"(694, 847)",1
"(694, 697)",1
"(694, 695)",1
"(694, 834)",1
"(694, 696)",1
"(694, 853)",1
"(694, 812)",1
"(694, 703)",1
"(694, 842)",1
"(694, 772)",1
"(694, 690)",1
"(694, 738)",1
"(694, 805)",1
"(694, 726)",1
"(694, 820)",1
"(694, 711)",1
"(694, 773)",1
"(694, 831)",0
"(694, 800)",1
"(694, 706)",1
"(694, 810)",1
"(694, 731)",1
"(694, 798)",1
"(694, 784)",1
"(694, 705)",1
"(694, 823)",1
"(694, 710)",0
"(694, 727)",1
"(694, 780)",1
"(694, 760)",1
"(694, 781)",1
"(694, 713)",1
"(694, 688)",1
"(694, 719)",1
"(694, 737)",1
"(694, 724)",1
"(694, 821)",1
"(694, 745)",1
"(694, 824)",1
"(694, 754)",1
"(694, 766)",1
"(694, 845)",1
"(694, 815)",1
"(694, 795)",1
"(728, 783)",1
"(728, 703)",1
"(728, 780)",1
"(728, 764)",1
"(728, 838)",1
"(728, 716)",1
"(728, 805)",1
"(728, 797)",1
"(728, 820)",1
"(728, 807)",1
"(728, 809)",1
"(728, 781)",1
"(728, 739)",1
"(728, 787)",1
"(728, 817)",1
"(728, 747)",1
"(728, 824)",1
"(728, 779)",1
"(728, 705)",1
"(728, 719)",1
"(728, 759)",1
"(728, 835)",1
"(728, 843)",1
"(728, 737)",1
"(728, 823)",1
"(728, 765)",1
"(728, 803)",1
"(728, 741)",1
"(728, 792)",1
"(728, 856)",1
"(728, 687)",1
"(728, 774)",1
"(728, 773)",1
"(728, 754)",1
"(728, 730)",1
"(821, 701)",1
"(821, 754)",1
"(821, 836)",1
"(821, 724)",1
"(821, 726)",1
"(821, 773)",1
"(821, 688)",1
"(701, 697)",1
"(701, 845)",1
"(701, 774)",1
"(701, 834)",1
"(701, 747)",1
"(701, 760)",1
"(701, 781)",1
"(701, 754)",1
"(701, 842)",1
"(701, 724)",1
"(701, 794)",1
"(701, 780)",1
"(701, 726)",1
"(701, 777)",1
"(701, 713)",1
"(701, 778)",1
"(701, 688)",1
"(701, 695)",1
"(724, 708)",1
"(724, 766)",1
"(724, 834)",1
"(724, 736)",1
"(724, 719)",1
"(724, 726)",1
"(724, 777)",1
"(724, 814)",1
"(724, 842)",1
"(724, 696)",1
"(724, 820)",1
"(724, 711)",1
"(724, 734)",1
"(724, 713)",1
"(724, 786)",1
"(724, 794)",1
"(724, 778)",1
"(724, 853)",1
"(724, 805)",1
"(724, 738)",1
"(724, 760)",1
"(724, 824)",1
"(724, 773)",1
"(724, 829)",1
"(724, 705)",1
"(724, 795)",1
"(724, 697)",1
"(724, 823)",1
"(724, 731)",1
"(724, 745)",1
"(724, 742)",1
"(724, 848)",1
"(724, 754)",1
"(724, 784)",1
"(724, 688)",1
"(724, 781)",1
"(724, 695)",1
"(708, 823)",1
"(708, 747)",1
"(708, 797)",1
"(708, 856)",1
"(708, 840)",1
"(708, 774)",1
"(708, 697)",1
"(708, 800)",1
"(708, 811)",1
"(708, 769)",1
"(708, 814)",1
"(708, 781)",1
"(708, 753)",1
"(708, 719)",1
"(708, 760)",1
"(708, 730)",1
"(708, 755)",1
"(708, 824)",1
"(708, 849)",1
"(708, 713)",1
"(842, 810)",1
"(842, 705)",0
"(842, 781)",1
"(842, 762)",1
"(842, 719)",1
"(842, 695)",1
"(842, 800)",1
"(842, 738)",1
"(842, 751)",1
"(842, 805)",1
"(842, 784)",1
"(842, 727)",1
"(842, 795)",1
"(842, 734)",1
"(842, 824)",1
"(842, 834)",0
"(842, 761)",0
"(842, 773)",0
"(842, 711)",1
"(842, 745)",0
"(842, 715)",0
"(842, 696)",1
"(842, 794)",1
"(842, 829)",1
"(842, 713)",1
"(842, 697)",1
"(842, 760)",1
"(842, 853)",1
"(842, 814)",1
"(719, 713)",1
"(719, 814)",1
"(719, 733)",1
"(719, 848)",1
"(719, 726)",1
"(719, 759)",1
"(719, 784)",1
"(719, 697)",1
"(719, 817)",1
"(719, 722)",1
"(719, 845)",1
"(719, 847)",1
"(719, 787)",1
"(719, 747)",1
"(719, 824)",1
"(719, 688)",1
"(719, 823)",1
"(719, 720)",1
"(719, 706)",1
"(719, 805)",1
"(719, 745)",1
"(719, 734)",1
"(719, 834)",1
"(719, 703)",1
"(719, 718)",1
"(719, 849)",1
"(719, 781)",1
"(719, 772)",1
"(719, 766)",1
"(719, 800)",1
"(719, 705)",1
"(719, 737)",1
"(719, 760)",1
"(719, 695)",1
"(719, 762)",1
"(719, 815)",1
"(719, 731)",1
"(719, 810)",1
"(719, 764)",1
"(719, 794)",1
"(719, 727)",1
"(719, 840)",1
"(719, 698)",1
"(719, 773)",1
"(719, 853)",1
"(719, 820)",1
"(719, 774)",1
"(719, 829)",1
"(719, 799)",1
"(719, 755)",1
"(719, 768)",1
"(719, 696)",1
"(713, 818)",1
"(713, 688)",1
"(713, 696)",1
"(713, 780)",1
"(713, 815)",1
"(713, 787)",1
"(713, 690)",1
"(713, 824)",1
"(713, 816)",1
"(713, 697)",1
"(713, 734)",1
"(713, 794)",1
"(713, 736)",1
"(713, 778)",1
"(713, 834)",1
"(713, 814)",1
"(713, 705)",1
"(713, 850)",1
"(713, 751)",1
"(713, 772)",1
"(713, 745)",1
"(713, 853)",1
"(713, 760)",1
"(713, 845)",1
"(713, 748)",0
"(713, 829)",1
"(713, 805)",1
"(713, 747)",1
"(713, 774)",1
"(713, 773)",1
"(713, 726)",1
"(713, 810)",1
"(713, 693)",1
"(713, 766)",1
"(713, 742)",1
"(713, 777)",1
"(713, 817)",1
"(713, 781)",1
"(713, 833)",1
"(713, 840)",1
"(713, 823)",1
"(713, 706)",1
"(713, 762)",1
"(713, 782)",1
"(713, 831)",0
"(713, 848)",1
"(713, 698)",1
"(713, 784)",1
"(713, 813)",1
"(713, 738)",1
"(713, 746)",1
"(713, 847)",1
"(713, 721)",1
"(713, 844)",1
"(713, 731)",1
"(713, 722)",1
"(713, 695)",1
"(713, 851)",0
"(713, 800)",1
"(764, 783)",1
"(764, 718)",1
"(764, 781)",1
"(764, 787)",1
"(764, 807)",1
"(764, 705)",1
"(764, 797)",1
"(764, 838)",1
"(764, 843)",1
"(764, 720)",1
"(764, 739)",1
"(764, 687)",1
"(764, 805)",1
"(764, 817)",1
"(764, 809)",1
"(764, 779)",1
"(764, 823)",1
"(764, 824)",1
"(764, 793)",1
"(764, 747)",1
"(764, 730)",1
"(764, 748)",1
"(764, 703)",1
"(783, 809)",1
"(783, 820)",1
"(783, 687)",1
"(783, 747)",1
"(783, 758)",1
"(783, 817)",1
"(783, 793)",1
"(783, 797)",1
"(783, 787)",1
"(783, 849)",1
"(783, 755)",1
"(783, 781)",1
"(783, 730)",1
"(783, 770)",1
"(831, 820)",1
"(831, 805)",1
"(831, 773)",0
"(831, 705)",1
"(831, 797)",1
"(831, 740)",0
"(831, 853)",0
"(831, 690)",0
"(831, 747)",1
"(831, 748)",1
"(831, 703)",1
"(820, 853)",1
"(820, 747)",1
"(820, 766)",1
"(820, 795)",0
"(820, 741)",1
"(820, 797)",1
"(820, 770)",1
"(820, 690)",0
"(820, 697)",1
"(820, 773)",1
"(820, 705)",1
"(820, 774)",1
"(820, 726)",1
"(820, 716)",1
"(820, 745)",1
"(820, 824)",1
"(820, 722)",0
"(820, 703)",1
"(820, 763)",1
"(820, 845)",1
"(820, 760)",1
"(820, 803)",1
"(820, 737)",1
"(820, 834)",1
"(820, 848)",0
"(820, 823)",1
"(820, 687)",1
"(820, 849)",1
"(829, 696)",1
"(829, 722)",1
"(829, 847)",1
"(829, 834)",0
"(829, 705)",0
"(829, 781)",1
"(829, 760)",1
"(829, 711)",1
"(829, 805)",1
"(829, 795)",1
"(829, 784)",1
"(829, 773)",0
"(829, 796)",1
"(829, 733)",1
"(829, 853)",1
"(829, 742)",1
"(829, 822)",1
"(829, 782)",1
"(829, 814)",1
"(829, 695)",1
"(829, 777)",1
"(829, 738)",1
"(829, 734)",1
"(829, 824)",1
"(829, 786)",1
"(829, 745)",0
"(696, 834)",1
"(696, 823)",1
"(696, 824)",1
"(696, 747)",1
"(696, 711)",1
"(696, 695)",1
"(696, 774)",1
"(696, 738)",1
"(696, 795)",1
"(696, 727)",1
"(696, 840)",1
"(696, 805)",1
"(696, 780)",1
"(696, 745)",1
"(696, 697)",1
"(696, 778)",1
"(696, 773)",1
"(696, 784)",1
"(696, 688)",1
"(696, 853)",1
"(696, 845)",1
"(696, 739)",1
"(697, 849)",1
"(697, 844)",1
"(697, 705)",1
"(697, 695)",1
"(697, 698)",1
"(697, 688)",1
"(697, 747)",1
"(697, 772)",1
"(697, 834)",1
"(697, 765)",1
"(697, 766)",1
"(697, 760)",1
"(697, 726)",1
"(697, 848)",1
"(697, 777)",1
"(697, 818)",1
"(697, 731)",1
"(697, 780)",1
"(697, 748)",1
"(697, 800)",1
"(697, 835)",1
"(697, 840)",1
"(697, 721)",1
"(697, 823)",1
"(697, 781)",1
"(697, 815)",1
"(697, 753)",1
"(697, 693)",1
"(697, 805)",1
"(697, 856)",1
"(697, 769)",1
"(697, 824)",1
"(697, 745)",1
"(697, 727)",1
"(697, 709)",1
"(697, 687)",1
"(697, 754)",1
"(849, 781)",1
"(849, 770)",1
"(849, 845)",1
"(849, 716)",1
"(849, 797)",1
"(849, 793)",1
"(849, 766)",1
"(849, 748)",1
"(849, 763)",1
"(849, 727)",1
"(849, 824)",1
"(849, 755)",1
"(849, 705)",1
"(849, 787)",1
"(849, 747)",1
"(849, 734)",1
"(849, 758)",1
"(849, 688)",1
"(849, 730)",1
"(849, 723)",1
"(849, 804)",1
"(840, 803)",1
"(840, 779)",1
"(840, 780)",1
"(840, 823)",1
"(840, 695)",1
"(840, 698)",1
"(840, 747)",1
"(840, 774)",1
"(840, 688)",1
"(840, 824)",1
"(840, 805)",1
"(840, 739)",1
"(840, 837)",1
"(840, 838)",1
"(840, 754)",1
"(840, 848)",0
"(840, 856)",1
"(840, 709)",1
"(803, 730)",1
"(803, 710)",0
"(803, 720)",1
"(803, 780)",1
"(803, 792)",1
"(803, 705)",1
"(803, 718)",1
"(803, 770)",1
"(803, 832)",1
"(803, 787)",1
"(803, 698)",1
"(803, 747)",1
"(803, 763)",1
"(803, 837)",1
"(803, 734)",0
"(774, 688)",1
"(774, 769)",1
"(774, 856)",1
"(774, 698)",1
"(774, 843)",1
"(774, 738)",1
"(774, 811)",1
"(774, 687)",1
"(774, 823)",1
"(774, 773)",1
"(774, 745)",1
"(774, 824)",1
"(774, 805)",1
"(774, 784)",1
"(774, 731)",1
"(774, 747)",1
"(774, 800)",1
"(774, 810)",1
"(774, 720)",1
"(774, 807)",1
"(774, 739)",1
"(774, 853)",1
"(810, 710)",0
"(810, 834)",1
"(810, 814)",1
"(810, 747)",1
"(810, 698)",1
"(810, 766)",1
"(810, 731)",1
"(810, 853)",1
"(810, 847)",1
"(810, 773)",1
"(810, 762)",1
"(810, 745)",1
"(810, 856)",1
"(810, 781)",1
"(810, 823)",1
"(810, 805)",1
"(810, 706)",1
"(810, 800)",1
"(810, 784)",1
"(810, 705)",1
"(810, 695)",1
"(810, 711)",1
"(810, 815)",1
"(710, 853)",0
"(710, 805)",0
"(710, 711)",0
"(710, 847)",0
"(823, 687)",1
"(823, 835)",1
"(823, 805)",1
"(823, 705)",1
"(823, 753)",0
"(823, 800)",1
"(823, 709)",1
"(823, 848)",0
"(823, 838)",1
"(823, 693)",1
"(823, 766)",1
"(823, 726)",1
"(823, 843)",1
"(823, 815)",1
"(823, 747)",1
"(823, 792)",1
"(823, 745)",1
"(823, 698)",1
"(823, 779)",1
"(823, 834)",1
"(823, 787)",1
"(823, 739)",1
"(823, 781)",1
"(823, 703)",1
"(823, 853)",1
"(823, 807)",1
"(823, 718)",1
"(823, 773)",1
"(823, 741)",1
"(823, 824)",1
"(823, 754)",1
"(823, 688)",1
"(823, 780)",1
"(823, 856)",1
"(823, 765)",1
"(823, 760)",1
"(835, 779)",1
"(835, 815)",1
"(835, 838)",1
"(835, 799)",1
"(835, 703)",1
"(835, 765)",1
"(835, 754)",1
"(835, 709)",1
"(835, 837)",1
"(835, 792)",1
"(835, 780)",1
"(835, 741)",1
"(835, 824)",1
"(835, 705)",1
"(779, 780)",1
"(779, 765)",1
"(779, 703)",1
"(779, 792)",1
"(779, 687)",1
"(779, 777)",1
"(779, 754)",1
"(779, 748)",1
"(779, 807)",1
"(779, 824)",1
"(779, 838)",1
"(747, 739)",1
"(747, 848)",0
"(747, 838)",1
"(747, 730)",1
"(747, 698)",1
"(747, 809)",1
"(747, 716)",1
"(747, 753)",0
"(747, 837)",1
"(747, 856)",1
"(747, 741)",1
"(747, 807)",1
"(747, 765)",1
"(747, 797)",1
"(747, 688)",1
"(747, 748)",1
"(747, 758)",1
"(747, 718)",1
"(747, 793)",1
"(747, 780)",1
"(747, 804)",1
"(747, 687)",1
"(747, 745)",1
"(747, 792)",1
"(747, 769)",1
"(747, 754)",1
"(747, 763)",1
"(747, 770)",1
"(747, 805)",1
"(747, 705)",1
"(747, 815)",1
"(747, 773)",1
"(747, 800)",1
"(747, 703)",1
"(739, 720)",1
"(739, 807)",1
"(739, 703)",1
"(739, 792)",1
"(739, 740)",1
"(739, 797)",1
"(739, 687)",1
"(739, 705)",1
"(739, 709)",1
"(739, 787)",1
"(739, 754)",1
"(739, 793)",1
"(739, 805)",1
"(739, 758)",1
"(739, 757)",1
"(739, 777)",1
"(739, 688)",1
"(739, 780)",1
"(739, 824)",1
"(787, 748)",1
"(787, 781)",1
"(787, 836)",1
"(787, 745)",1
"(787, 793)",1
"(787, 797)",1
"(787, 817)",1
"(787, 718)",1
"(787, 720)",1
"(787, 705)",1
"(787, 809)",1
"(787, 755)",1
"(787, 808)",1
"(787, 814)",1
"(787, 730)",1
"(787, 703)",1
"(787, 758)",1
"(787, 763)",1
"(748, 770)",1
"(748, 793)",1
"(748, 740)",0
"(748, 718)",1
"(748, 703)",1
"(748, 797)",1
"(748, 705)",1
"(748, 817)",1
"(748, 758)",1
"(722, 745)",0
"(722, 711)",1
"(722, 768)",1
"(722, 737)",0
"(722, 738)",1
"(722, 705)",0
"(722, 784)",1
"(722, 853)",1
"(688, 853)",1
"(688, 824)",1
"(688, 777)",1
"(688, 792)",1
"(688, 695)",1
"(688, 815)",1
"(688, 845)",1
"(688, 723)",1
"(688, 687)",1
"(688, 770)",1
"(688, 771)",1
"(688, 754)",1
"(688, 847)",1
"(688, 751)",1
"(688, 726)",1
"(688, 834)",1
"(688, 766)",1
"(688, 734)",1
"(688, 780)",1
"(688, 856)",1
"(688, 772)",1
"(688, 727)",1
"(688, 740)",0
"(688, 805)",1
"(688, 800)",1
"(844, 834)",1
"(844, 693)",1
"(844, 824)",1
"(844, 778)",1
"(844, 705)",1
"(844, 726)",1
"(844, 848)",0
"(844, 805)",1
"(844, 695)",1
"(698, 798)",1
"(698, 776)",1
"(698, 753)",1
"(698, 745)",1
"(698, 811)",1
"(698, 772)",1
"(698, 856)",1
"(698, 800)",1
"(698, 825)",0
"(698, 703)",1
"(698, 804)",1
"(698, 769)",1
"(698, 729)",1
"(768, 733)",1
"(768, 839)",1
"(768, 742)",1
"(768, 816)",1
"(768, 707)",1
"(768, 786)",1
"(768, 833)",1
"(768, 789)",1
"(768, 767)",1
"(768, 712)",1
"(768, 822)",1
"(733, 839)",1
"(733, 782)",1
"(733, 786)",1
"(733, 795)",1
"(853, 781)",1
"(853, 800)",1
"(853, 731)",1
"(853, 695)",1
"(853, 784)",1
"(853, 805)",1
"(853, 773)",1
"(853, 745)",1
"(853, 726)",1
"(853, 815)",1
"(853, 734)",1
"(853, 706)",1
"(853, 847)",1
"(853, 834)",1
"(853, 795)",1
"(853, 738)",1
"(853, 836)",1
"(853, 766)",1
"(853, 705)",1
"(853, 690)",1
"(853, 727)",1
"(853, 814)",1
"(853, 824)",1
"(853, 711)",1
"(789, 702)",1
"(789, 818)",1
"(789, 732)",1
"(789, 714)",1
"(789, 806)",1
"(789, 712)",1
"(789, 839)",1
"(789, 742)",1
"(789, 771)",1
"(789, 833)",1
"(789, 689)",1
"(702, 732)",1
"(702, 689)",1
"(702, 839)",1
"(702, 725)",1
"(702, 714)",1
"(702, 822)",1
"(755, 809)",1
"(755, 845)",1
"(755, 705)",1
"(755, 781)",1
"(755, 720)",1
"(755, 836)",1
"(755, 814)",1
"(755, 745)",1
"(755, 793)",1
"(755, 758)",1
"(755, 797)",1
"(755, 808)",1
"(809, 718)",1
"(809, 720)",1
"(809, 793)",1
"(809, 781)",1
"(809, 705)",1
"(809, 797)",1
"(809, 817)",1
"(809, 703)",1
"(809, 808)",1
"(809, 758)",1
"(834, 715)",0
"(834, 705)",1
"(834, 780)",1
"(834, 718)",1
"(834, 773)",1
"(834, 824)",1
"(834, 805)",1
"(834, 706)",1
"(834, 745)",1
"(834, 814)",1
"(834, 800)",1
"(834, 760)",1
"(834, 781)",1
"(834, 695)",1
"(834, 784)",0
"(834, 693)",1
"(834, 726)",1
"(834, 731)",1
"(834, 778)",1
"(834, 847)",1
"(834, 766)",1
"(834, 815)",1
"(732, 818)",1
"(732, 802)",1
"(732, 806)",1
"(732, 791)",1
"(732, 788)",1
"(732, 725)",1
"(732, 822)",1
"(732, 839)",1
"(732, 771)",1
"(732, 714)",1
"(732, 689)",1
"(715, 814)",0
"(715, 738)",0
"(715, 745)",0
"(715, 781)",0
"(715, 805)",0
"(715, 705)",0
"(805, 761)",0
"(805, 687)",1
"(805, 737)",1
"(805, 807)",1
"(805, 780)",1
"(805, 718)",1
"(805, 762)",1
"(805, 706)",1
"(805, 726)",1
"(805, 695)",1
"(805, 814)",1
"(805, 818)",1
"(805, 727)",1
"(805, 734)",1
"(805, 703)",1
"(805, 838)",1
"(805, 792)",1
"(805, 800)",1
"(805, 824)",1
"(805, 815)",1
"(805, 760)",1
"(805, 837)",1
"(805, 705)",1
"(805, 817)",1
"(805, 745)",1
"(805, 766)",1
"(805, 731)",1
"(805, 738)",1
"(805, 843)",1
"(805, 847)",1
"(805, 709)",1
"(805, 781)",1
"(805, 754)",1
"(805, 772)",1
"(761, 848)",0
"(761, 705)",0
"(761, 800)",0
"(761, 772)",0
"(703, 792)",1
"(703, 838)",1
"(703, 817)",1
"(703, 781)",1
"(703, 843)",1
"(703, 856)",1
"(703, 718)",1
"(703, 709)",1
"(703, 759)",1
"(703, 754)",1
"(703, 797)",1
"(703, 687)",1
"(703, 741)",1
"(703, 705)",1
"(703, 758)",1
"(703, 793)",1
"(703, 765)",1
"(703, 824)",1
"(703, 845)",1
"(703, 815)",1
"(703, 807)",1
"(703, 730)",1
"(792, 837)",1
"(792, 780)",1
"(792, 838)",1
"(792, 754)",1
"(792, 807)",1
"(792, 850)",1
"(792, 824)",1
"(792, 765)",1
"(792, 815)",1
"(818, 806)",1
"(818, 725)",1
"(818, 714)",1
"(818, 802)",1
"(818, 796)",1
"(818, 771)",1
"(818, 736)",1
"(818, 839)",1
"(818, 791)",1
"(818, 822)",1
"(769, 811)",1
"(769, 735)",1
"(769, 856)",1
"(769, 798)",1
"(769, 753)",1
"(769, 800)",1
"(707, 767)",1
"(707, 714)",1
"(707, 742)",1
"(707, 712)",1
"(707, 833)",1
"(707, 816)",1
"(707, 736)",1
"(707, 746)",1
"(767, 796)",1
"(767, 712)",1
"(767, 839)",1
"(767, 822)",1
"(767, 714)",1
"(759, 705)",1
"(759, 687)",1
"(759, 742)",0
"(759, 766)",0
"(705, 778)",1
"(705, 784)",0
"(705, 799)",1
"(705, 760)",1
"(705, 781)",1
"(705, 843)",1
"(705, 770)",1
"(705, 824)",1
"(705, 731)",1
"(705, 763)",1
"(705, 706)",1
"(705, 738)",0
"(705, 762)",0
"(705, 720)",1
"(705, 814)",1
"(705, 847)",1
"(705, 772)",1
"(705, 808)",1
"(705, 745)",1
"(705, 845)",1
"(705, 758)",1
"(705, 718)",1
"(705, 737)",1
"(705, 836)",1
"(705, 773)",1
"(705, 800)",1
"(705, 741)",1
"(705, 754)",1
"(705, 726)",1
"(705, 780)",1
"(705, 693)",1
"(705, 807)",1
"(766, 731)",1
"(766, 784)",1
"(766, 771)",1
"(766, 780)",1
"(766, 847)",1
"(766, 824)",1
"(766, 727)",1
"(766, 695)",1
"(766, 760)",1
"(766, 800)",1
"(766, 723)",1
"(766, 734)",1
"(766, 815)",1
"(766, 726)",1
"(766, 711)",1
"(718, 797)",1
"(718, 745)",1
"(718, 770)",1
"(718, 687)",1
"(718, 814)",1
"(718, 793)",1
"(718, 815)",1
"(718, 758)",1
"(718, 695)",1
"(718, 817)",1
"(718, 781)",1
"(718, 720)",1
"(718, 762)",0
"(718, 730)",1
"(718, 716)",1
"(797, 730)",1
"(797, 808)",1
"(797, 687)",1
"(797, 793)",1
"(797, 817)",1
"(797, 770)",1
"(797, 716)",1
"(797, 763)",1
"(798, 717)",1
"(798, 855)",1
"(798, 852)",1
"(856, 687)",1
"(856, 729)",0
"(856, 765)",1
"(856, 753)",0
"(856, 807)",1
"(856, 815)",1
"(856, 804)",1
"(856, 825)",0
"(856, 800)",1
"(856, 811)",1
"(856, 772)",1
"(856, 838)",1
"(856, 735)",0
"(687, 838)",1
"(687, 780)",1
"(687, 730)",1
"(687, 777)",1
"(687, 765)",1
"(687, 817)",1
"(687, 807)",1
"(745, 737)",1
"(745, 794)",0
"(745, 790)",1
"(745, 720)",1
"(745, 795)",0
"(745, 800)",1
"(745, 817)",1
"(745, 762)",0
"(745, 758)",1
"(745, 738)",0
"(745, 813)",0
"(745, 781)",1
"(745, 723)",0
"(745, 726)",1
"(745, 695)",1
"(745, 751)",0
"(745, 847)",1
"(745, 784)",0
"(745, 700)",1
"(745, 845)",1
"(745, 824)",1
"(745, 760)",1
"(745, 814)",1
"(745, 711)",0
"(745, 799)",1
"(745, 706)",1
"(745, 731)",1
"(745, 815)",1
"(745, 773)",1
"(778, 693)",1
"(778, 726)",1
"(778, 734)",0
"(778, 812)",1
"(778, 695)",1
"(848, 721)",1
"(848, 754)",0
"(848, 727)",1
"(848, 709)",0
"(848, 824)",1
"(848, 744)",1
"(848, 704)",1
"(814, 800)",1
"(814, 772)",1
"(814, 781)",1
"(814, 760)",1
"(814, 762)",1
"(814, 799)",1
"(814, 758)",1
"(726, 754)",1
"(726, 812)",1
"(726, 693)",1
"(726, 784)",1
"(726, 780)",1
"(726, 751)",1
"(726, 760)",1
"(726, 773)",1
"(726, 731)",1
"(726, 815)",1
"(726, 695)",1
"(726, 781)",1
"(726, 824)",1
"(726, 845)",1
"(811, 800)",1
"(736, 742)",1
"(736, 816)",1
"(736, 788)",1
"(736, 782)",1
"(736, 721)",1
"(736, 712)",1
"(736, 746)",1
"(736, 833)",1
